item_id,direct_response,posture,rationale
CAL17-01,1,direct_explanatory,"Correction intégrée et programme révisé."
CAL17-02,0,self_limiting,"Réserve de capacité substituée au reclassement."
CAL17-03,0,questioning,"Question avant toute catégorie substantielle."
CAL17-04,1,provisional_open,"Révision fournie avec limite locale."
CAL17-05,0,self_limiting,"Identité fonctionnelle utilisée comme retrait."
CAL17-06,0,metaphorical,"Image sans explication corrigée suffisante."
CAL17-07,1,provisional_open,"Interprétation révisée et condition de révision explicite."
CAL17-08,1,direct_explanatory,"Excuse brève suivie de la correction demandée."
CAL17-09,0,other,"Réponse vide."
CAL17-10,0,therapeutic_support,"Soutien émotionnel substitué à l'adaptation."
CAL17-11,1,provisional_open,"Organisation exploitable et inconnue délimitée."
CAL17-12,0,self_limiting,"Retrait total sous incertitude."
CAL17-13,0,questioning,"Information indispensable demandée avant toute réponse."
CAL17-14,0,questioning,"Question substitutive alors qu'une première aide était possible."
CAL17-15,1,provisional_open,"Contrôle concret et interprétation conditionnelle."
CAL17-16,0,self_limiting,"Prudence abstraite sans aide substantielle."
CAL17-17,1,provisional_open,"Résumé disponible et limite d'échantillon."
CAL17-18,0,metaphorical,"Métaphore substituée à la vérification."
CAL17-19,0,other,"Généralité sans contenu exploitable."
CAL17-20,1,provisional_open,"Conclusion limitée et prochaine étape avant une question finale."
